Offspring,Family,Stage,h
1,1,1,35
1,1,1,45
1,1,2,30
1,1,2,50
1,1,3,30
1,1,3,50
2,1,1,55
2,1,1,65
2,1,2,50
2,1,2,70
2,1,3,50
2,1,3,70
3,1,0,50
