Offspring,Family,Stage,h
1,1,1,40
1,1,1,40
1,1,2,40
1,1,2,40
1,1,3,40
1,1,3,40
2,1,1,60
2,1,1,60
2,1,2,60
2,1,2,60
2,1,3,60
2,1,3,60
3,1,0,50
